ObjectID,GlobalID,Seating,Shelter,ETA Screen,Curb,Stop ID (NextBus),headway,Route_All,Route_1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Notes,Seating #,Route Map,Island?,Signage,any_signage,Signage_Comb,half,x,y,best_signage
2425,71dce34d-953b-4563-a9be-f441ce460e5f,no,no,no,clear,15602,10_min,"14, 14-r, 14-x, 88",14,14,14,88,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4468265,37.71132149,3 paint_on_metal_pole
2426,a53ba65e-95cc-4883-b4f0-4bda36b2a036,yes,yes,yes_working,clear,15601,10_min,"14, 14-r, 14-x, 88",14,14,14,88,,,,,,,4,yes,no,"metal_sign,shelter_marking",yes,combination,South,-122.4457587,37.71167333,0 metal_sign
2427,46eb37df-f9ff-4661-a267-8a1aaa8f7e42,no,no,no,clear,15589,10_min,"14, 14-x, 88",14,14,88,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4446451,37.71288742,3 paint_on_metal_pole
2428,234e2114-99ed-483b-b8e6-6260f1274b23,no,no,no,clear,15595,10_min,"14, 14-x, 88",14,14,88,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4443064,37.71290478,3 paint_on_metal_pole
2429,82cb3d0d-0638-4209-acd3-f07f6e6e3a3d,no,no,no,clear,15576,10_min,"14, 14-x, 88",14,14,88,,,,,,,,,no,no,metal_sign,yes,metal_sign,South,-122.4426588,37.71441159,0 metal_sign
2430,626c21b5-b1a3-4439-9f85-5b7c41bde772,no,no,no,clear,,10_min,"14, 14-x, 88",14,14,88,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4426094,37.71475691,3 paint_on_metal_pole
2431,0bc088ac-6387-419f-9648-db942ab10838,yes,yes,yes_working,clear,14811,10_min,"8-x, 8-bx, 29, 43, 54, 91",8,8,29,43,54,91,,,,Shelter not lined up with curb,2,yes,no,shelter_marking,yes,shelter_marking,South,-122.4435064,37.71859251,1 shelter_marking
2432,5b083990-0546-448e-bea9-5ef4cdd25185,yes,yes,yes_working,clear,14810,10_min,"8, 8-bx, 43, 54, 88, 91-owl",8,8,43,54,88,91,,,,,2,yes,no,shelter_marking,yes,shelter_marking,South,-122.4434507,37.7188687,1 shelter_marking
2434,1aa321bd-145c-49ff-b40f-bc2f605289c1,yes,yes,yes_not_working,clear,14898,10_min,28-r,28,,,,,,,,,,6,yes,no,shelter_marking,yes,shelter_marking,South,-122.4469677,37.72049267,1 shelter_marking
2435,4ee3f781-e8ea-4de4-af51-635c5be54a2b,yes,yes,yes_working,clear,14803,10_min,"8, 8-bx, 43, 54, 88, 91-owl",8,8,43,54,88,91,,,,,6,yes,no,shelter_marking,yes,shelter_marking,South,-122.4472899,37.72110986,1 shelter_marking
2436,29ebf279-923f-42a1-8e62-9c9522d84c27,yes,yes,yes_working,clear,14805,10_min,"8, 8-bx, 43, 54, 88, 91",8,8,43,54,88,91,,,,,4,yes,no,shelter_marking,yes,shelter_marking,South,-122.4474334,37.7208723,1 shelter_marking
2437,d3b18398-df16-4a7b-aade-47ee337bd2b0,no,no,no,parking_obstructed,15291,20_30_min,54,54,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4493283,37.72161339,3 paint_on_metal_pole
