ObjectID,GlobalID,Seating,Shelter,ETA Screen,Curb,Stop ID (NextBus),headway,Route_All,Route_1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Notes,Seating #,Route Map,Island?,Signage,any_signage,Signage_Comb,half,x,y,best_signage
2498,1ae09ecf-de36-4097-8ea8-7e576aaed389,no,no,no,clear,17884,10_min,"5-owl, 7-x",5,7,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.4135718,37.7818144,3 paint_on_metal_pole
2499,fb44becc-fab2-451c-a421-b144239e7672,no,no,no,clear,16721,10_min,"7-x, 31",7,31,,,,,,,,,,no,no,metal_sign,yes,metal_sign,North,-122.4144857,37.78282272,0 metal_sign
2500,b6383654-e455-43a7-8796-b2838d4c1bd0,yes,yes,yes_working,clear,16719,10_min,7-x,7,,,,,,,,,,4,yes,no,shelter_marking,yes,shelter_marking,North,-122.4127696,37.78306426,1 shelter_marking
2501,c409a3ba-d16b-4cc4-b9b6-996bd68a29ea,no,no,no,clear,14480,10_20_min,"27, 31",27,31,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.4123168,37.78390539,3 paint_on_metal_pole
2502,fd9f9b64-179b-4185-ba05-2837c9a0588d,no,no,no,clear,14483,10_20_min,31,31,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.4139506,37.78370769,3 paint_on_metal_pole
2503,ba070381-1e81-4189-a4b0-61b37d122c17,no,no,no,clear,,10_20_min,27,27,,,,,,,,,,,no,no,no_sign,no,z_no_sign,North,-122.4143068,37.78474493,5 no_sign
2504,55a57e22-2ac6-42af-95e6-0a6fb3b63bf4,no,no,no,clear,,10_20_min,27,27,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.4114794,37.78511616,3 paint_on_metal_pole
2505,1e755f4c-9b01-4608-8249-3390ce30484f,no,no,no,clear,14493,10_20_min,31,31,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.4106577,37.78410878,3 paint_on_metal_pole
2506,8dda21aa-80f9-406e-9f50-c5de3eacec6a,no,no,no,clear,14486,10_20_min,31,31,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.4095187,37.78426808,3 paint_on_metal_pole
2507,18134bde-e3f7-4ac8-9aa8-2486fdd0f3eb,no,no,no,clear,16733,10_min,"7-x, 31",7,31,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,North,-122.4100673,37.7833723,3 paint_on_metal_pole
2508,3e16530a-2639-46e3-8534-9b4c3d490ab5,yes,yes,yes_not_working,clear,15646,10_min,"5, 5-r, 7",5,5,7,,,,,,,,6,yes,no,"metal_sign,shelter_marking",yes,combination,North,-122.4093362,37.78290198,0 metal_sign
2509,a7b516f3-70f0-4d03-bee5-49689c5f7240,yes,yes,yes_working,clear,15683,10_min,"5, 5-r, 21",5,5,21,,,,,,,,6,yes,no,"metal_sign,shelter_marking",yes,combination,North,-122.4097053,37.78287343,0 metal_sign
2510,48f5c788-dbe3-4ffa-abf2-21e3cbe8266e,no,yes,no,clear,15650,10_min,"6, 7, 9, 9-l, 71, 71-l",6,7,9,9l,71,71l,,,,,,no,yes,"metal_sign,shelter_marking",yes,combination,North,-122.4126787,37.78032901,0 metal_sign
