stop_code,stop_name,route_short_name,route_long_name,route_type,route_color,route_text_color,direction_id,eol_stop_names_all,eol_stop_names_day,eol_stop_names_owl,start_time,end_time,day_headway,owl_headway,day_headway_min,owl_headway_min,mon,tue,wed,thu,fri,sat,sun
13041,Balboa St & 12th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:10:19,22:50:19,20.0,,20.0,,1,1,1,1,1,1,1
13043,Balboa St & 17th Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:40:10,22:26:10,20.3,,20.15,,1,1,1,1,1,1,1
13044,Balboa St & 17th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:08:59,22:48:59,20.0,,20.0,,1,1,1,1,1,1,1
13045,Balboa St & 19th Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:40:45,22:26:45,20.35,,20.15,,1,1,1,1,1,1,1
13046,Balboa St & 19th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:08:28,22:48:28,20.0,,20.0,,1,1,1,1,1,1,1
13047,Balboa St & 21st Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:41:20,22:27:20,20.35,,20.2,,1,1,1,1,1,1,1
13048,Balboa St & 21st Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:07:57,22:47:57,20.0,,20.0,,1,1,1,1,1,1,1
13049,Balboa St & 23rd Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:41:55,22:27:55,20.4,,20.2,,1,1,1,1,1,1,1
13050,Balboa St & 23rd Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:07:26,22:47:26,20.0,,20.0,,1,1,1,1,1,1,1
13051,Balboa St & 25th Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:42:35,22:28:35,20.35,,20.15,,1,1,1,1,1,1,1
13052,Balboa St & 25th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:06:58,22:46:58,20.0,,20.0,,1,1,1,1,1,1,1
13053,Balboa St & 28th Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:43:23,22:29:23,20.35,,20.2,,1,1,1,1,1,1,1
13054,Balboa St & 28th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:06:08,22:46:08,20.0,,20.0,,1,1,1,1,1,1,1
13055,Balboa St & 30th Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:44:03,22:30:03,20.35,,20.2,,1,1,1,1,1,1,1
13056,Balboa St & 30th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:05:36,22:45:36,20.0,,20.0,,1,1,1,1,1,1,1
13057,Balboa St & 32nd Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:44:34,22:30:34,20.4,,20.2,,1,1,1,1,1,1,1
13058,Balboa St & 32nd Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:05:05,22:45:05,20.0,,20.0,,1,1,1,1,1,1,1
13059,Balboa St & 34th Ave,18,46TH AVENUE,3,005B95,FFFFFF,1,33rd Ave & Geary Blvd@@@33###Legion Of Honor@@@111,Legion Of Honor@@@63,,06:35:07,22:22:21,20.0,,20.0,,1,1,1,1,1,1,1
13059,Balboa St & 34th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:04:34,22:44:34,20.0,,20.0,,1,1,1,1,1,1,1
13060,Balboa St & 35th Ave,18,46TH AVENUE,3,005B95,FFFFFF,0,19th Ave & Buckingham Way@@@144,19th Ave & Buckingham Way@@@63,,06:03:54,22:04:54,20.0,,20.0,,1,1,1,1,1,1,1
13060,Balboa St & 35th Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@62,,04:45:19,22:31:19,20.4,,20.263157894736842,,1,1,1,1,1,1,1
13061,Balboa St & 37th Ave,18,46TH AVENUE,3,005B95,FFFFFF,0,19th Ave & Buckingham Way@@@144,19th Ave & Buckingham Way@@@63,,06:04:40,22:05:40,20.0,,20.0,,1,1,1,1,1,1,1
13061,Balboa St & 37th Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@62,,04:46:02,22:32:02,20.4,,20.263157894736842,,1,1,1,1,1,1,1
13062,Balboa St & 37th Ave,18,46TH AVENUE,3,005B95,FFFFFF,1,33rd Ave & Geary Blvd@@@33###Legion Of Honor@@@111,Legion Of Honor@@@63,,06:34:02,22:21:24,20.0,,20.0,,1,1,1,1,1,1,1
13062,Balboa St & 37th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:03:47,22:43:47,20.0,,20.0,,1,1,1,1,1,1,1
13063,Balboa St & 40th Ave,18,46TH AVENUE,3,005B95,FFFFFF,0,19th Ave & Buckingham Way@@@144,19th Ave & Buckingham Way@@@63,,06:05:36,22:06:36,20.0,,20.0,,1,1,1,1,1,1,1
13063,Balboa St & 40th Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@60,,04:46:54,22:32:54,20.473684210526315,,20.263157894736842,,1,1,1,1,1,1,1
13064,Balboa St & 40th Ave,18,46TH AVENUE,3,005B95,FFFFFF,1,33rd Ave & Geary Blvd@@@33###Legion Of Honor@@@111,Legion Of Honor@@@63,,06:32:57,22:20:27,20.0,,20.0,,1,1,1,1,1,1,1
13064,Balboa St & 40th Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:03:00,22:43:00,20.0,,20.0,,1,1,1,1,1,1,1
13065,Balboa St & 43rd Ave,18,46TH AVENUE,3,005B95,FFFFFF,0,19th Ave & Buckingham Way@@@144,19th Ave & Buckingham Way@@@63,,06:06:33,22:07:33,20.0,,20.0,,1,1,1,1,1,1,1
13065,Balboa St & 43rd Ave,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@60,,04:47:47,22:33:47,20.473684210526315,,20.263157894736842,,1,1,1,1,1,1,1
13066,Balboa St & 43rd Ave,18,46TH AVENUE,3,005B95,FFFFFF,1,33rd Ave & Geary Blvd@@@33###Legion Of Honor@@@111,Legion Of Honor@@@63,,06:31:52,22:19:30,20.0,,20.0,,1,1,1,1,1,1,1
13066,Balboa St & 43rd Ave,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:02:13,22:42:13,20.0,,20.0,,1,1,1,1,1,1,1
13067,Balboa St & Arguello Blvd,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:36:11,22:21:36,20.3,,20.15,,1,1,1,1,1,1,1
13070,Balboa St & Park Presidio Blvd,31,BALBOA,3,005B95,FFFFFF,0,Cabrillo St & La Playa St@@@167,Cabrillo St & La Playa St@@@63,,04:39:12,22:25:12,20.3,,20.15,,1,1,1,1,1,1,1
13071,Balboa St & Park Presidio Blvd,31,BALBOA,3,005B95,FFFFFF,1,Cyril Magnin St & Market St@@@98###Townsend St & 4th St@@@50###Turk St & Masonic Ave@@@19,Cyril Magnin St & Market St@@@42###Townsend St & 4th St@@@21,,05:09:52,22:49:52,20.0,,20.0,,1,1,1,1,1,1,1
