13033,Balboa St & 4th Ave,31,BALBOA,Masonic + Turk,18758,05:12:26,22:48:26,0,0,0,0,0,1,0
13033,Balboa St & 4th Ave,31,BALBOA,Masonic + Turk,18758,05:12:26,22:48:26,0,0,0,0,0,0,1
13034,Balboa St & 6th Ave,31,BALBOA,Ocean Beach,18758,04:37:00,22:22:00,1,1,1,1,1,0,0
13034,Balboa St & 6th Ave,31,BALBOA,Ocean Beach,18758,04:37:00,22:23:00,0,0,0,0,0,1,0
13034,Balboa St & 6th Ave,31,BALBOA,Ocean Beach,18758,04:37:00,22:23:00,0,0,0,0,0,0,1
13035,Balboa St & 6th Ave,31,BALBOA,Masonic + Turk,18758,05:13:00,22:47:00,1,1,1,1,1,0,0
13035,Balboa St & 6th Ave,31,BALBOA,Masonic + Turk,18758,05:12:00,22:48:00,0,0,0,0,0,1,0
13035,Balboa St & 6th Ave,31,BALBOA,Masonic + Turk,18758,05:12:00,22:48:00,0,0,0,0,0,0,1
13036,Balboa St & 8th Ave,31,BALBOA,Ocean Beach,18758,04:37:30,22:22:30,1,1,1,1,1,0,0
13036,Balboa St & 8th Ave,31,BALBOA,Ocean Beach,18758,04:37:30,22:23:27,0,0,0,0,0,1,0
13036,Balboa St & 8th Ave,31,BALBOA,Ocean Beach,18758,04:37:30,22:23:27,0,0,0,0,0,0,1
13037,Balboa St & 8th Ave,31,BALBOA,Masonic + Turk,18758,05:12:07,22:46:17,1,1,1,1,1,0,0
13037,Balboa St & 8th Ave,31,BALBOA,Masonic + Turk,18758,05:11:17,22:47:07,0,0,0,0,0,1,0
13037,Balboa St & 8th Ave,31,BALBOA,Masonic + Turk,18758,05:11:17,22:47:07,0,0,0,0,0,0,1
13038,Balboa St & 10th Ave,31,BALBOA,Ocean Beach,18758,04:38:04,22:23:04,1,1,1,1,1,0,0
13038,Balboa St & 10th Ave,31,BALBOA,Ocean Beach,18758,04:38:04,22:23:58,0,0,0,0,0,1,0
13038,Balboa St & 10th Ave,31,BALBOA,Ocean Beach,18758,04:38:04,22:23:58,0,0,0,0,0,0,1
13039,Balboa St & 10th Ave,31,BALBOA,Masonic + Turk,18758,05:11:34,22:45:46,1,1,1,1,1,0,0
13039,Balboa St & 10th Ave,31,BALBOA,Masonic + Turk,18758,05:10:46,22:46:34,0,0,0,0,0,1,0
13039,Balboa St & 10th Ave,31,BALBOA,Masonic + Turk,18758,05:10:46,22:46:34,0,0,0,0,0,0,1
