stop_code,BS_ID,STOP_NAME,STOP_LAT,STOP_LONG,max_ons,log_max_ons
17862,7862,Broadway&Sansome St SW-NS/BB,37.79839,-122.40234,10,10..20
17863,7863,Sansome St&Jackson St SW-FS/BZ,37.79653,-122.40191,20,20..50
17864,7864,Bryant St&Division St SW-FS/BZ,37.76893,-122.41089,,
17865,7865,16th Street & Owen St NW/FS-BZ,37.76672,-122.39281,34,20..50
17866,7866,16th St& Owen St SF/FS-BZ,37.76665,-122.39253,6,5..10
17886,7886,Bay Shore Blvd&Flower St NE-NS/SI,37.74238,-122.40561,62,50..100
17887,7887,201 Bayshore Blvd E-MB/BB,37.74462,-122.40419,51,50..100
17888,7888,Bay Shore Blvd&Oakdale Ave SW-FS/BB,37.74305,-122.4054,30,20..50
17893,7893,Ocean Ave Right of Way SW/NS/SB,37.73193,-122.47386,2,2..5
17899,7899,San Bruno Ave&Harkness Ave NE-FS/BZ,37.71804,-122.40011,73,50..100
17900,7900,San Bruno Ave&Felton St W-FS/BZ,37.72991,-122.40463,228,200..500
17908,7908,Potrero Ave & 21st St,37.75786,-122.40672,132,100..200
17909,7909,Potrero Ave & 19th St ,37.76074,-122.40702,40,20..50
17910,7910,Potrero Ave & Mariposa St ,37.76328,-122.40726,13,10..20
17911,7911,Potrero Ave & Mariposa St ,37.76313,-122.40741,18,10..20
17912,7912,Potrero Ave & 19th St,37.76061,-122.40717,35,20..50
17914,7914,Transit Center Bay B,37.79009,-122.39569,374,200..500
17915,7915,Transit Center Bay C,37.78996,-122.39549,280,200..500
17916,7916,Transit Center Bay D,37.78988,-122.39538,379,200..500
17917,7917,Transit Center Bay E,37.78984,-122.39532,119,100..200
17925,7925,D.C. Bart Parking Lot E-MB/BZ,37.70597,-122.46877,370,200..500
17940,7940,Ocean Ave & Muni Right of Way NE-NS/SB,37.73193,-122.47366,9,5..10
17945,7945,Mission & Fremont S-NS/SI,37.79026,-122.39679,13,10..20
17948,7948,Transit Center Bay 29,37.79014,-122.39615,104,100..200
17949,7949,Fremont St&Mission St E-NS/PS,37.79041,-122.39651,16,10..20
17953,7953,Geary Blvd & Masonic St SE-FS/BZ,37.7822,-122.44703,255,200..500
17954,7954,Geary Blvd & Fillmore St SE-MB/BZ,37.78438,-122.43205,463,200..500
17957,7957,Townsend St & 5 St S-FS/BZ,37.77565,-122.39667,67,50..100
17958,7958,Daly City Bart Layover Location/Not a public stop,37.7059,-122.46773,408,200..500
17959,7959,McLaren School Turnback Point,37.71501,-122.42505,,
17960,7960,Townsend St&7th St S MB/SI,37.77114,-122.40238,12,10..20
17961,7961,3rd Street&Evans Ave S/FS-SB,37.74279,-122.38781,33,20..50
17976,7976,Ulloa St&West Protal Ave S-FS/BZ,37.74083,-122.46581,133,100..200
17977,7977,Jones St&O'Farrell St SW-FS/BZ,37.78574,-122.41302,29,20..50
17979,7979,Moscow St&Geneva Ave S-FS/BZ,37.71323,-122.43356,6,5..10
17980,7980,Moscow St&Italy Ave E-NS/PS,37.71493,-122.43231,3,2..5
17981,7981,Moscow St&France Ave E-NS/PS,37.71648,-122.43114,4,2..5
17982,7982,Moscow St&RussiaAvet E-NS/PS,37.71804,-122.42996,3,2..5
17983,7983,Moscow St&Brazil Ave E-NS/PS,37.72114,-122.42762,6,5..10
17984,7984,Moscow St&Excelsior Ave E-NS/PS,37.72272,-122.42645,2,2..5
17985,7985,Moscow St&Avalon Ave E-NS/PS,37.72428,-122.42529,4,2..5
17996,7996,Irving St&8th Ave SW-NS/BB,37.76404,-122.46543,177,100..200
17999,7999,9th Ave&Irving St SW-FS,37.76384,-122.46638,72,50..100
